Producto;Codigo;Stock;Costo;Precio;Categoria
3-A OFTENO DICLOFENACO SODICO 10MG X5ML LAB SOPHIA;736085402551;10;0;17000;Analgésico Antinflamatorio
3-A OFTENO DICLOFENACO SODICO 10MG X5ML LAB SOPHIA;75952553883942;0;0;0;Analgésico Antinflamatorio
3M TEGADERM;0104064035142742;0;0;2500;SIN CLASIFICAR
451 COLONIA INGLESA x 260ML;7804945004115;11;0;3500;SIN CLASIFICAR
AARTFENACIN FEXOFEBADUBA CLORHIDRATO 120MG X30COMP LAB. PHARMARIS;7804677770371;5;0;10000;SIN CLASIFICAR
AARTFENACIN FEXOFENADINA CLORHIDRATO 180MG 30 COMP. LAB PHARMARIS;7804677770401;1;0;15000;Antihistamínicos
ABECIDIN MULTIVITAMINICO X 30ML LAB. PASTEUR;7800068010019;0;0;6000;Vitaminas, minerales y oligoelementos
AC X EXFOLIANTE JABON BARRA X100 GRS MIGUEL MARITANO;7800063001845;0;0;2500;SIN CLASIFICAR
ACCUALAXAN MACROGOL 3350 7 SOBRES DE 17 GRS LAB. MEGALABS;7800059006878;0;0;11000;SIN CLASIFICAR
ACEBRON ACENOCUMAROL 4MG X20COMP LAB. ABBOTT;7800026660089;0;0;20000;Anticoagulantes
ACECNOU 3G FOSFOMICINA TROMETAMOL 3GRS 1 UND SOBRE LAB. FAES FARMA;8436024617511;3;0;24000;Antibióticos
ACECNOU FOSFOMICINA 3G X2SOBRES LAB. FAES FARMA;7804629440536;2;0;37000;Antibióticos
ACEITE BABY OIL VASELINA 125ML SIMONDS;7804945001305;1;0;3000;Laxantes
ACEITE COMESTIBLE BEBE X240ML NUTRA BEBE;7805350000617;10;0;4000;Laxantes
ACEITE DE ARGAN 30ML;7500682354611;0;0;3000;Laxantes
ACEITE DE BACALAO 60CAPS BLANDAS ANC;7805357004014;0;0;6500;Laxantes
ACEITE DE COCO;4623720660048;0;0;11000;Laxantes
ACEITE DE COCO 60ML LAB. RAVEPHARMA;7805357100020;31;0;2500;Laxantes
ACEITE DE RECINO MENTA 20GR LAB. VALMA;7800044000423;28;0;1500;Laxantes
ACEITE DE RICINO FRUTILLA X20 GRS LAB. VALMA;7800044000430;7;0;1500;Laxantes
ACEITE DE RICINO X20 ML. LAB VALMA;7800044000416;8;0;1500;Laxantes
ACEITE DE RICINO X20G LAB. VALMA;7805357002003;0;0;1500;Laxantes
ACETAZOLAMIDA 250MG. X20COMP. LAB. MINTLAB;7800063111032;0;0;3500;Diuréticos
ACETAZOLAMINA 250 MG X20 COMP. LAB. ASCEND;7804650885832;0;0;3500;SIN CLASIFICAR
ACETONA PURA X 60CC LAB. MANAR;7892065357921;0;0;500;SIN CLASIFICAR
ACEVIT MULTIVITAMINICO X30ML LAB. ABBOTT;7800026012000;2;0;12000;Vitaminas, minerales y oligoelementos
ACICLOVIR 200 MG X25 COMP LAB CHILE.;7800007112743;0;0;3000;Antivirales
ACICLOVIR 400 MG. 35 COMP. LAB.MINTLAB B;7800063116778;0;0;3000;Antivirales
ACICLOVIR 5% 15 GRS CREMA TOPICA LAB. DE CHILE;7800007155719;20;0;1000;Antivirales
ACICLOVIR 5% X15 GRS. CREMA TOPICA LAB ASCEND;7804650885894;0;0;2400;Antivirales
ACICLOVIR 5% X5 GRS. CREMA TOPICA LAB. MINTLAB;7800063160016;0;0;800;Antivirales
ACICLOVIR CREMA TOPICA 5% 1 TUBO 15 GRS. LAB. HOSPIFARMA;8901790708614;38;0;1000;Antivirales
ACIDO ACETILSALICILICO 100 MG 100 COMP. LAB CHILE;7800007805799;66;0;2000;Vitaminas, minerales y oligoelementos
ACIDO ACETILSALICILICO 100 MG. X100 COMP. LAB. PASTEUR;7800068030031;0;0;2500;Vitaminas, minerales y oligoelementos
ACIDO BORICO X10 GRS. LAB. DROGUERIA ÑUÑOA;7805357001167;9;0;500;Vitaminas, minerales y oligoelementos
ACIDO MEFENAMICO 500 MG X10 COMP. LAB. CURAESPRING;7804673040225;0;0;500;Vitaminas, minerales y oligoelementos
ACIDO MEFENAMICO 500MG X COMP. LAB. CHILE;7800007173881;0;0;1000;Vitaminas, minerales y oligoelementos
ACIDO SALICILICO 1GR. LAB. DROGUERIA ÑUÑOA;7805357001174;0;0;350;Vitaminas, minerales y oligoelementos
ACIDO VALPROICO 200MG X30COMP LAB. ANDROMACO;7800018000466;0;0;6000;Vitaminas, minerales y oligoelementos
ACIDO VALPROICO 500 MG. 30 COMP. LAB. ANDROMACO;7800018000473;0;0;6500;Vitaminas, minerales y oligoelementos
ACONDICIONADOR  SIMONS KIDS;7804945032774;3;0;4000;SIN CLASIFICAR
ACONDICIONADOR SEDAL 340;7791293046433;0;0;3500;SIN CLASIFICAR
ACOTOL DIONOGEST + ETINILESTRADIOL 2 MG + 0.03 MG. 28 COMP. LAB. ABBOTT;7800026547861;31;0;15000;SIN CLASIFICAR
ACTIOVAL PREBIOTICO 2X10 X30 CAPS LAB ARAMA;7803501004569;6;0;9000;SIN CLASIFICAR
ACUODE CALECALCIFEROL 50000UI X2SOBRES LAB. ABBOTT;7800026004791;5;0;19000;SIN CLASIFICAR
ADAPAC 0,15% GEL 30G ADAPALENO;76045284619649;5;0;20000;Dermatológicos, fanereos
ADAPAC ADAPALENO 0.3G X30G LAB. FOUCHARD;7804612010661;0;0;17000;Dermatológicos, fanereos
ADIDAS DYNAMIC PULSE X100ML;3616303321987;2;0;0;SIN CLASIFICAR
ADIDAS EDT ICE DIVE;3616303321932;0;0;13000;SIN CLASIFICAR
ADORLAN 2525 DICLOFENACO SODICO +TRAMADOL CLORHIDRATO 25MG + 25MG X10 COMP. GRUNENTHAL;7861073970613;12;0;8000;Analgésico Antinflamatorio
AERO TOTAL;7804636190004;0;0;3500;SIN CLASIFICAR
AERO-ITAN METOCLOPRAMIDA + CLRDIAZEPOXIDA + SIMETICONA 5MG + 5MG + 100MG X20CAPS LAB. SAVAL;7800060003651;34;0;11500;Antieméticos y antivértigo
AEROCAMARA UNIVERSAL CAMARA INHALATORIA 1 UND. LAB. MINTLAB;7800063000312;0;0;3500;Dispositivos y accesorios médicos
AEROLIN SALBUTAMOL 100MCG 200DOSIS LAB. GSK;7800029002480;0;0;22000;Broncodilatadores
AEROTROP IPRATROPIO BROMURO 20MCG 250DOSIS LAB. CASSARA;7795373013087;0;0;9000;Antiasmáticos
AESCULUS UNG. 35G KNOP;2030751007612;0;0;5000;SIN CLASIFICAR
AFEITADORA COMFORT 3 ADV SENSIBLE 1 UNIDAD;70330717565;0;0;1000;Equipamiento de uso médico
AFEITADORA FEMENINA SOLEIL BIC 1 UNIDAD;70330731806;0;0;1000;Equipamiento de uso médico
AFTA GEL BENZOCAINA + CETILPRIDINIO CLORURO 5.0G + 0.5G X20G LAB. EUROFARMA;7800046004993;1;0;4000;Medicamentos y Productos Farmacéuticos
AFTER SUN ALIVIO INMEDIATO ISDIN X200ML;8470003808996;4;0;11000;SIN CLASIFICAR
AGATHA RUIZ DE LA PRADA;7807761896896;0;0;17500;SIN CLASIFICAR
AGUA BIDESTILADA 1L.;7800062001853;10;0;3000;Agua y electrolitos
AGUA BIDESTILADA 500ML APIROFLEX;7800062001792;33;0;2000;Agua y electrolitos
AGUA BRAVA;8411061401804;0;0;15000;Agua y electrolitos
AGUA COLONIA 50ML + AFTER SHAVE 90ML OH MISTER CLASSIC;7805633016878;0;0;8000;Agua y electrolitos
AGUA DEL CARMEN 100 ML;7800068010125;30;0;5500;Agua y electrolitos
AGUA DEL CARMEN SOL ISPH 40ML;7800068010118;5;0;2500;Agua y electrolitos
AGUA DIAGUITAS 500ML;010501;0;0;1000;Agua y electrolitos
AGUA MELISA GOTAS SANITAS;7800038040510;9;0;2500;Agua y electrolitos
AGUA MICELAR ACIDO HIALURONICO REVITALIFT LOREAL PARIS;7509552843705;0;0;6000;Agua y electrolitos
AGUA MICELAR AHA PETRIZZIO X200ML;7804907994362;0;0;3500;Agua y electrolitos
AGUA MICELAR LIMPIA E HIDRATA 250ML;7708935094554;0;0;5000;Agua y electrolitos
AGUA MICELAR NEUTROGENA X200ML;7891010251048;0;0;5000;Agua y electrolitos
AGUA MICELAR TODO EN 1 GARNIER SKINACTIVE X400ML;7509552455557;3;0;4000;Agua y electrolitos
AGUA MICELAR-ACEITEOLE GAR-SKI 100ML;3600542109802;4;0;3500;Agua y electrolitos
AGUA MISCELAR BIFASICA LOREAL PARIS X200ML;7509552800098;0;0;6500;Agua y electrolitos
AGUAFRESH PACK MENTA X 2;7804900000558;0;0;3500;Equipamiento de uso médico
AGUALA PICOSULFATO DE SODIO 750MG X10ML LAB. ROYAL PHARMA;7800059002733;3;0;3000;Laxantes
AGUAS DIAGUITA 500ML;76063093681043;0;0;1000;SIN CLASIFICAR
AGUJA 21 G. UNIDAD. BD;78909878;0;0;100;Agujas inyección, aspirac. y accesorios
AGUJA 23 G. UNIDAD. CRAMBERRY;44Q2BMKAXBA9CB;0;0;100;Agujas inyección, aspirac. y accesorios
AGUJA HIPODERMICA 0.80 X 25MM BD;78909793;0;0;100;Agujas inyección, aspirac. y accesorios
AGUJA HIPODERMICA 18 G X 1.5 PULGADA BD;78909731;0;0;100;Agujas inyección, aspirac. y accesorios
AGUJA HIPODERMICA ESTERIL 23GX1;65670286;100;0;100;Agujas inyección, aspirac. y accesorios
AGUJA HIPODERMICA ESTERIL 26GX12 MT;321;0;0;100;Agujas inyección, aspirac. y accesorios
AJO NEGRO BLACK GARLIC 36 G;75942205625211;6;0;7500;SIN CLASIFICAR
AKARANTA TIOCOLCHICOSIDO 8MG X12CAPS LAB. ABBOTT;7800026008126;7;0;10000;Medicamentos y Productos Farmacéuticos
ALCOHOL 95- 250 ML ELITE;7800045001825;0;0;1500;Desinfectantes y esterilización en frío
ALCOHOL DESNATURALIZADO 70- ELITE 500CC;10030189;39;0;2000;Desinfectantes y esterilización en frío
ALCOHOL DESNATURALIZADO 70- X 1MLCC;7800045001788;48;0;3500;Desinfectantes y esterilización en frío
ALCOHOL DESNATURALIZADO 95- 500CC CON GATILLO;10030707;0;0;2500;Desinfectantes y esterilización en frío
ALCOHOL DESNATURALIZADO 95- ELITE 1000CC;7800045001849;0;0;3500;Desinfectantes y esterilización en frío
ALCOHOL DESNATURALIZADO AL 95 X 500ML ELITE;7800045001832;38;0;2000;Desinfectantes y esterilización en frío
ALCOHOL DESNATURALIZADO CON ITALATO DE ETILO AL 0.2 X60ML;7891537153979;0;0;500;Desinfectantes y esterilización en frío
ALCOHOL GEL 70 X 340 ML ELITE;10030431;10;0;2500;Desinfectantes y esterilización en frío
ALCOHOL GEL 70- X340ML;7801000275961;0;0;3000;Desinfectantes y esterilización en frío
ALCOHOL GEL PARA MANOS ENJUAGUE X60ML SANTEPHARMA;7804647000002;0;0;1000;Desinfectantes y esterilización en frío
ALCOHOL ISOPROPILICO IPA 70- X290ML;7801000000396;10;0;4000;Desinfectantes y esterilización en frío
ALCOHOL SPRAY AL 70 PARA MANOS 100 ML. FAMILY SET;7805633022374;65;0;1000;Desinfectantes y esterilización en frío
ALDROX ACIDO ALENDRONICO 70 MG. X10 COMP. LAB. PASTEUR;7800068010156;2;0;15000;Vitaminas, minerales y oligoelementos
ALEJANDRIA 8G 1UNIDAD LAB. DROGERIA NUÑOA;7805357000009;0;0;600;SIN CLASIFICAR
ALENYS FLUTICASONA FUROATO 27.5MCG 120DOSIS LAB. ETEX;7800030075008;13;0;18500;Antiasmáticos
ALERTEX MODAFINILO 100MG X30COMP LAB. SAVAL;7800060414082;0;0;20000;Estimulantes/anoréxicos
ALERVIT FORTE x 60CAPS VITALAB;737186232986;0;0;5000;SIN CLASIFICAR
ALERXO FEXOFENADINA CLORHIDRATO 120MG X30 COMP. LAB. DE CHILE;7800007805331;0;0;14000;Antihistamínicos
ALERXO FORTE FEXOFENADINA CLORHIDRATO 180MG 30COMP LAB. TEVA;7800007805324;0;0;19000;Antihistamínicos
ALERXO FORTE FEXOFENADINA CLORHIDRATO 180MG TEVA;ALERXO;0;0;17000;Antihistamínicos
ALEXIA - D FEXOFRENADINA CLORHIDRATO + PSEUDOEFEDRINA SULFATO 60MG + 120MG X10CAPS LAB. SAVAL;7800060117037;0;0;12000;Vitaminas, minerales y oligoelementos
ALEXIA FEXOFENADINA 120MG X10COMP LAB. SAVAL;7800060112315;0;0;14000;Antihistamínicos
ALEXIA FEXOFENADINA 120MG X30COMP LS B;7800060112582;4;0;16000;Antihistamínicos
ALEXIA FORTE 180MG;7800060118782;0;0;16000;SIN CLASIFICAR
ALEXIA FORTE FEXOFENADINA 180MG;7800060119321;0;0;25000;Antihistamínicos
ALFEXA 120MG COMP REC X30 -FEXOFENADINA CLORHIDRATO-;7804650885733;0;0;12500;SIN CLASIFICAR
ALFEXA 180 FEXOFENADINA CLORHIDRATO 180MG X30COMP. ASCEND B;7804650884491;7;0;15000;Antihistamínicos
ALFLOREX BIFIDOBACTERIUM LONGUM 7.5G X30CAPS LAB. AXON;5392000067417;21;0;25000;Medicamentos y Productos Farmacéuticos
ALGAS CON OLIVOS COMPUESTO X30ML KNOP;2010341003620;0;0;7000;SIN CLASIFICAR
ALGAS MARINAS CON OLIVOS MEDICAMENTO HOMEOPATICO 50 COMP. LAB. KNOP;2010121011050;0;0;4500;SIN CLASIFICAR
ALGINATO AG 10UND 10x10 LAB. ROKYMEDS;6920230614058;2;0;3500;Dispositivos y accesorios médicos
ALGODON AMERICANO CORRIENTE 250G;7806545010237;0;0;2500;Algodón y relacionados
ALGODON AMERICANO HIDROFILO;7806545010121;0;0;1200;Algodón y relacionados
ALGODON HIDROFILO 250GRS AMERICANO;7806545010138;0;0;2500;Algodón y relacionados
ALGODON HIDROFILO 25OGRS FAM SET;7805633013419;18;0;4000;Algodón y relacionados
ALGODON HIDROFILO NAPA PR FAM SET 50GR;7805633013433;49;0;600;Algodón y relacionados
ALGODON HIDROFILO ZIG ZAG 200GR ADSORBEX;7806545030198;0;0;2500;Algodón y relacionados
ALGODON REDONDO MULTI USOS 80UND;48341000808;0;0;1500;Algodón y relacionados
ALGOHOL GEL NEUTRO AL 70 250ML;10030448;0;0;2000;SIN CLASIFICAR
ALGON HIDROFILO 200GRS;7805190000303;0;0;2500;SIN CLASIFICAR
ALGON HIDROFILO EN ZIG ZAG;7806545010329;0;0;1200;SIN CLASIFICAR
ALL OUT  PIOJOS 50 ML. CON PEINE;7800004003693;6;0;8500;SIN CLASIFICAR
ALLEDRYL-D CAP X 20 -LORATADINA 5MGPSEUDOEFEDRINA120MG;7804918410356;11;0;8500;SIN CLASIFICAR
ALLEGRA D FEXOFENADIAN CLORHIDRATO + PSEUDOEFEDRINA CLORHIDRATO 60MG + 120MG X20COMP LAB. SANOFI;7800056001463;0;0;27000;SIN CLASIFICAR
