Producto;Codigo;Stock;Costo;Precio;Categoria;Estado
3-A OFTENO DICLOFENACO SODICO 10MG X5ML LAB SOPHIA;736085402551;10;0;17000;Analgésico Antinflamatorio;DISPONIBLE
451 COLONIA INGLESA x 260ML;7804945004115;11;0;3500;SIN CLASIFICAR;DISPONIBLE
AARTFENACIN FEXOFEBADUBA CLORHIDRATO 120MG X30COMP LAB. PHARMARIS;7804677770371;5;0;10000;SIN CLASIFICAR;DISPONIBLE
AARTFENACIN FEXOFENADINA CLORHIDRATO 180MG 30 COMP. LAB PHARMARIS;7804677770401;1;0;15000;Antihistamínicos;DISPONIBLE
AB ANTITUSIVO 12COMP LS SAVAL  MENTA FRESCA;7800060005754;40;0;4500;SIN CLASIFICAR;DISPONIBLE
AB CLORHEDIXIDINA CLORHIDRATO 5 MG 12 COMP. LAB. SAVAL;7800060005723;100;0;4500;SIN CLASIFICAR;DISPONIBLE
ABRILAR HEDERA HELIX 35MG X100ML LAB. ENGELHARD;4104480705199;50;0;5500;Productos para tos, mucolíticos;DISPONIBLE
ACECNOU 3G FOSFOMICINA TROMETAMOL 3GRS 1 UND SOBRE LAB. FAES FARMA;8436024617511;3;0;24000;Antibióticos;DISPONIBLE
ACECNOU FOSFOMICINA 3G X2SOBRES LAB. FAES FARMA;7804629440536;2;0;37000;Antibióticos;DISPONIBLE
ACEITE BABY OIL VASELINA 125ML SIMONDS;7804945001305;1;0;3000;Laxantes;DISPONIBLE
ACEITE COMESTIBLE BEBE X240ML NUTRA BEBE;7805350000617;10;0;4000;Laxantes;DISPONIBLE
ACEITE DE COCO 60ML LAB. RAVEPHARMA;7805357100020;31;0;2500;Laxantes;DISPONIBLE
ACEITE DE RECINO MENTA 20GR LAB. VALMA;7800044000423;28;0;1500;Laxantes;DISPONIBLE
ACEITE DE RICINO FRUTILLA X20 GRS LAB. VALMA;7800044000430;7;0;1500;Laxantes;DISPONIBLE
ACEITE DE RICINO X20 ML. LAB VALMA;7800044000416;8;0;1500;Laxantes;DISPONIBLE
ACEMUK N-ACETILCISTEINA 100MG X100ML LAB.DEUTSCHE;7795380000872;14;0;10000;Productos para tos, mucolíticos;DISPONIBLE
ACEVIT MULTIVITAMINICO X30ML LAB. ABBOTT;7800026012000;2;0;12000;Vitaminas, minerales y oligoelementos;DISPONIBLE
ACICLOVIR 400 MG X35 COMP. LAB. CURAESPRING.;7804673040393;66;0;3500;Antivirales;DISPONIBLE
ACICLOVIR 5% 15 GRS CREMA TOPICA LAB. DE CHILE;7800007155719;20;0;1000;Antivirales;DISPONIBLE
ACICLOVIR CREMA TOPICA 5% 1 TUBO 15 GRS. LAB. HOSPIFARMA;8901790708614;38;0;1000;Antivirales;DISPONIBLE
ACICLOVIR CREMA TOPICA 5% X100G LAB SCL;737186233259;38;0;1000;Antivirales;DISPONIBLE
ACIDO ACETILSALICILICO 100 MG 100 COMP. LAB CHILE;7800007805799;66;0;2000;Vitaminas, minerales y oligoelementos;DISPONIBLE
ACIDO BORICO X10 GRS. LAB. DROGUERIA ÑUÑOA;7805357001167;9;0;500;Vitaminas, minerales y oligoelementos;DISPONIBLE
ACIDO MEFENAMICO 500 MG. 10.COMP. LAB. MILAB;7800063110493;6;0;500;Vitaminas, minerales y oligoelementos;DISPONIBLE
ACIFIN ANTIACIDO ANTIFLATULENTO 10 COMP. LAB. MINTLAB;7800063311234;257;0;1000;SIN CLASIFICAR;DISPONIBLE
ACONDICIONADOR  SIMONS KIDS;7804945032774;3;0;4000;SIN CLASIFICAR;DISPONIBLE
ACOTOL DIONOGEST + ETINILESTRADIOL 2 MG + 0.03 MG. 28 COMP. LAB. ABBOTT;7800026547861;31;0;15000;SIN CLASIFICAR;DISPONIBLE
ACTIOVAL PREBIOTICO 2X10 X30 CAPS LAB ARAMA;7803501004569;6;0;9000;SIN CLASIFICAR;DISPONIBLE
ACTRON 600 IBUPROFENO 600MG X10CAPS LAB. BAYER;7793640992523;257;0;5500;Analgésico Antipirético Antiinflamatorio;DISPONIBLE
ACUODE CALECALCIFEROL 50000UI X2SOBRES LAB. ABBOTT;7800026004791;5;0;19000;SIN CLASIFICAR;DISPONIBLE
ADAPAC 0,15% GEL 30G ADAPALENO;76045284619649;5;0;20000;Dermatológicos, fanereos;DISPONIBLE
ADORLAN 2525 DICLOFENACO SODICO +TRAMADOL CLORHIDRATO 25MG + 25MG X10 COMP. GRUNENTHAL;7861073970613;12;0;8000;Analgésico Antinflamatorio;DISPONIBLE
ADVANTAGE TRATAMIENTO ANTIPULGAS GATOS 1X08ML 4 A 8 KG PIPETA 1X08ML ELANCO;4007221042914;17;0;10000;Antibióticos;DISPONIBLE
ADVANTAGE TRATAMIENTO ANTIPULGAS GATOS 1X08ML 4 KG PIPETA 1X08ML ELANCO;7702123000907;33;0;6500;Antibióticos;DISPONIBLE
AERO-ITAN METOCLOPRAMIDA + CLRDIAZEPOXIDA + SIMETICONA 5MG + 5MG + 100MG X20CAPS LAB. SAVAL;7800060003651;34;0;11500;Antieméticos y antivértigo;DISPONIBLE
