Grupo de Producto;Producto;Código Barras;Stock;Costo Neto Prom. Unitario;Precio Venta 
;3-A OFTENO DICLOFENACO SODICO 10MG X5ML LAB SOPHIA;736085402551;10;0;17000
;3-A OFTENO DICLOFENACO SODICO 10MG X5ML LAB SOPHIA;75952553883942;0;0;0
;3M TEGADERM;0104064035142742;0;0;2500
;451 COLONIA INGLESA x 260ML;7804945004115;11;0;3500
;AARTFENACIN FEXOFEBADUBA CLORHIDRATO 120MG X30COMP LAB. PHARMARIS;7804677770371;5;0;10000
;AARTFENACIN FEXOFENADINA CLORHIDRATO 180MG 30 COMP. LAB PHARMARIS;7804677770401;1;0;15000
;ABECIDIN MULTIVITAMINICO X 30ML LAB. PASTEUR;7800068010019;0;0;6000
;AC X EXFOLIANTE JABON BARRA X100 GRS MIGUEL MARITANO;7800063001845;0;0;2500
;ACCUALAXAN MACROGOL 3350 7 SOBRES DE 17 GRS LAB. MEGALABS;7800059006878;0;0;11000
;ACEBRON ACENOCUMAROL 4MG X20COMP LAB. ABBOTT;7800026660089;0;0;20000
;ACECNOU 3G FOSFOMICINA TROMETAMOL 3GRS 1 UND SOBRE LAB. FAES FARMA;8436024617511;3;0;24000
;ACECNOU FOSFOMICINA 3G X2SOBRES LAB. FAES FARMA;7804629440536;2;0;37000
;ACEITE BABY OIL VASELINA 125ML SIMONDS;7804945001305;1;0;3000
;ACEITE COMESTIBLE BEBE X240ML NUTRA BEBE;7805350000617;10;0;4000
;ACEITE DE ARGAN 30ML;7500682354611;0;0;3000
;ACEITE DE BACALAO 60CAPS BLANDAS ANC;7805357004014;0;0;6500
;ACEITE DE COCO;4623720660048;0;0;11000
;ACEITE DE COCO 60ML LAB. RAVEPHARMA;7805357100020;31;0;2500
;ACEITE DE RECINO MENTA 20GR LAB. VALMA;7800044000423;28;0;1500
;ACEITE DE RICINO FRUTILLA X20 GRS LAB. VALMA;7800044000430;7;0;1500
;ACEITE DE RICINO X20 ML. LAB VALMA;7800044000416;8;0;1500
;ACEITE DE RICINO X20G LAB. VALMA;7805357002003;0;0;1500
;ACETAZOLAMIDA 250MG. X20COMP. LAB. MINTLAB;7800063111032;0;0;3500
;ACETAZOLAMINA 250 MG X20 COMP. LAB. ASCEND;7804650885832;0;0;3500
;ACETONA PURA X 60CC LAB. MANAR;7892065357921;0;0;500
;ACEVIT MULTIVITAMINICO X30ML LAB. ABBOTT;7800026012000;2;0;12000
;ACICLOVIR 200 MG X25 COMP LAB CHILE.;7800007112743;0;0;3000
;ACICLOVIR 400 MG. 35 COMP. LAB.MINTLAB B;7800063116778;0;0;3000
;ACICLOVIR 5% 15 GRS CREMA TOPICA LAB. DE CHILE;7800007155719;20;0;1000
;ACICLOVIR 5% X15 GRS. CREMA TOPICA LAB ASCEND;7804650885894;0;0;2400
;ACICLOVIR 5% X5 GRS. CREMA TOPICA LAB. MINTLAB;7800063160016;0;0;800
;ACICLOVIR CREMA TOPICA 5% 1 TUBO 15 GRS. LAB. HOSPIFARMA;8901790708614;38;0;1000
;ACIDO ACETILSALICILICO 100 MG 100 COMP. LAB CHILE;7800007805799;66;0;2000
;ACIDO ACETILSALICILICO 100 MG. X100 COMP. LAB. PASTEUR;7800068030031;0;0;2500
;ACIDO BORICO X10 GRS. LAB. DROGUERIA ÑUÑOA;7805357001167;9;0;500
;ACIDO MEFENAMICO 500 MG X10 COMP. LAB. CURAESPRING;7804673040225;0;0;500
;ACIDO MEFENAMICO 500MG X COMP. LAB. CHILE;7800007173881;0;0;1000
;ACIDO SALICILICO 1GR. LAB. DROGUERIA ÑUÑOA;7805357001174;0;0;350
;ACIDO VALPROICO 200MG X30COMP LAB. ANDROMACO;7800018000466;0;0;6000
;ACIDO VALPROICO 500 MG. 30 COMP. LAB. ANDROMACO;7800018000473;0;0;6500
;ACONDICIONADOR  SIMONS KIDS;7804945032774;3;0;4000
;ACONDICIONADOR SEDAL 340;7791293046433;0;0;3500
;ACOTOL DIONOGEST + ETINILESTRADIOL 2 MG + 0.03 MG. 28 COMP. LAB. ABBOTT;7800026547861;31;0;15000
;ACTIOVAL PREBIOTICO 2X10 X30 CAPS LAB ARAMA;7803501004569;6;0;9000
;ACUODE CALECALCIFEROL 50000UI X2SOBRES LAB. ABBOTT;7800026004791;5;0;19000
;ADAPAC 0,15% GEL 30G ADAPALENO;76045284619649;5;0;20000
;ADAPAC ADAPALENO 0.3G X30G LAB. FOUCHARD;7804612010661;0;0;17000
;ADIDAS DYNAMIC PULSE X100ML;3616303321987;2;0;0
;ADIDAS EDT ICE DIVE;3616303321932;0;0;13000
;ADORLAN 2525 DICLOFENACO SODICO +TRAMADOL CLORHIDRATO 25MG + 25MG X10 COMP. GRUNENTHAL;7861073970613;12;0;8000
;AERO TOTAL;7804636190004;0;0;3500
;AERO-ITAN METOCLOPRAMIDA + CLRDIAZEPOXIDA + SIMETICONA 5MG + 5MG + 100MG X20CAPS LAB. SAVAL;7800060003651;34;0;11500
;AEROCAMARA UNIVERSAL CAMARA INHALATORIA 1 UND. LAB. MINTLAB;7800063000312;0;0;3500
;AEROLIN SALBUTAMOL 100MCG 200DOSIS LAB. GSK;7800029002480;0;0;22000
;AEROTROP IPRATROPIO BROMURO 20MCG 250DOSIS LAB. CASSARA;7795373013087;0;0;9000
;AESCULUS UNG. 35G KNOP;2030751007612;0;0;5000
;AFEITADORA COMFORT 3 ADV SENSIBLE 1 UNIDAD;70330717565;0;0;1000
;AFEITADORA FEMENINA SOLEIL BIC 1 UNIDAD;70330731806;0;0;1000
;AFTA GEL BENZOCAINA + CETILPRIDINIO CLORURO 5.0G + 0.5G X20G LAB. EUROFARMA;7800046004993;1;0;4000
;AFTER SUN ALIVIO INMEDIATO ISDIN X200ML;8470003808996;4;0;11000
;AGATHA RUIZ DE LA PRADA;7807761896896;0;0;17500
;AGUA BIDESTILADA 1L.;7800062001853;10;0;3000
;AGUA BIDESTILADA 500ML APIROFLEX;7800062001792;33;0;2000
;AGUA BRAVA;8411061401804;0;0;15000
;AGUA COLONIA 50ML + AFTER SHAVE 90ML OH MISTER CLASSIC;7805633016878;0;0;8000
;AGUA DEL CARMEN 100 ML;7800068010125;30;0;5500
;AGUA DEL CARMEN SOL ISPH 40ML;7800068010118;5;0;2500
;AGUA DIAGUITAS 500ML;010501;0;0;1000
;AGUA MELISA GOTAS SANITAS;7800038040510;9;0;2500
;AGUA MICELAR ACIDO HIALURONICO REVITALIFT LOREAL PARIS;7509552843705;0;0;6000
;AGUA MICELAR AHA PETRIZZIO X200ML;7804907994362;0;0;3500
;AGUA MICELAR LIMPIA E HIDRATA 250ML;7708935094554;0;0;5000
;AGUA MICELAR NEUTROGENA X200ML;7891010251048;0;0;5000
;AGUA MICELAR TODO EN 1 GARNIER SKINACTIVE X400ML;7509552455557;3;0;4000
;AGUA MICELAR-ACEITEOLE GAR-SKI 100ML;3600542109802;4;0;3500
;AGUA MISCELAR BIFASICA LOREAL PARIS X200ML;7509552800098;0;0;6500
;AGUAFRESH PACK MENTA X 2;7804900000558;0;0;3500
;AGUALA PICOSULFATO DE SODIO 750MG X10ML LAB. ROYAL PHARMA;7800059002733;3;0;3000
;AGUAS DIAGUITA 500ML;76063093681043;0;0;1000
;AGUJA 21 G. UNIDAD. BD;78909878;0;0;100
;AGUJA 23 G. UNIDAD. CRAMBERRY;44Q2BMKAXBA9CB;0;0;100
;AGUJA HIPODERMICA 0.80 X 25MM BD;78909793;0;0;100
;AGUJA HIPODERMICA 18 G X 1.5 PULGADA BD;78909731;0;0;100
;AGUJA HIPODERMICA ESTERIL 23GX1;65670286;100;0;100
;AGUJA HIPODERMICA ESTERIL 26GX12 MT;321;0;0;100
;AJO NEGRO BLACK GARLIC 36 G;75942205625211;6;0;7500
