Name;SKU;Barcodes;Price;Stock;Category;Laboratory;ActiveIngredients;Bioequivalent;Description;ISP_Code;TherapeuticAction;Units;Concentration;PrescriptionType
3-A OFTENO DICLOFENACO SODICO 10MG X5ML LAB SOPHIA;;736085402551,75952553883942;17000;100;;;;false;;;;;;
3M TEGADERM;;0104064035142742;2500;100;;;;false;;;;;;
451 COLONIA INGLESA x 260ML;;7804945004115;3500;100;;;;false;;;;;;
AARTFENACIN FEXOFEBADUBA CLORHIDRATO 120MG X30COMP LAB. PHARMARIS;;7804677770371;10000;100;;;;false;;;;;;
AARTFENACIN FEXOFENADINA CLORHIDRATO 180MG 30 COMP. LAB PHARMARIS;50005;7804677770401;15000;100;OTROS;SIN ASIGNACION;;false;;;SIN ASIGNACION;;;
ABECIDIN MULTIVITAMINICO X 30ML LAB. PASTEUR;;7800068010019;6000;100;;;;false;;;;;;
AC X EXFOLIANTE JABON BARRA X100 GRS MIGUEL MARITANO;;7800063001845;2500;100;;;;false;;;;;;
ACCUALAXAN MACROGOL 3350 7 SOBRES DE 17 GRS LAB. MEGALABS;50006;7800059006878;11000;100;OTROS;SIN ASIGNACION;NIFUROXAZIDA 200 MG,FTALILSULFATIAZOL 250 MG;false;;;SIN ASIGNACION;;;
ACEBRON ACENOCUMAROL 4MG X20COMP LAB. ABBOTT;;7800026660089;20000;100;;;;false;;;;;;
ACECNOU 3G FOSFOMICINA TROMETAMOL 3GRS 1 UND SOBRE LAB. FAES FARMA;50007;8436024617511;24000;100;OTROS;SIN ASIGNACION;;false;;;SIN ASIGNACION;;;
ACECNOU FOSFOMICINA 3G X2SOBRES LAB. FAES FARMA;;7804629440536;37000;100;;;;false;;;;;;
ACEITE BABY OIL VASELINA 125ML SIMONDS;;7804945001305;3000;100;;;;false;;;;;;
ACEITE COMESTIBLE BEBE X240ML NUTRA BEBE;50009;7805350000617;4000;100;OTROS;SIN ASIGNACION;ESCITALOPRAM 20 MG;false;;;SIN ASIGNACION;;;
ACEITE DE ARGAN 30ML;;7500682354611;3000;100;;;;false;;;;;;
ACEITE DE BACALAO 60CAPS BLANDAS ANC;;7805357004014;6500;100;;;;false;;;;;;
ACEITE DE COCO;;4623720660048;11000;100;;;;false;;;;;;
ACEITE DE COCO 60ML LAB. RAVEPHARMA;;7805357100020;2500;100;;;;false;;;;;;
ACEITE DE RECINO MENTA 20GR LAB. VALMA;;7800044000423;1500;100;;;;false;;;;;;
ACEITE DE RICINO FRUTILLA X20 GRS LAB. VALMA;;7800044000430;1500;100;;;;false;;;;;;
ACEITE DE RICINO X20 ML. LAB VALMA;;7800044000416;1500;100;;;;false;;;;;;
ACEITE DE RICINO X20G LAB. VALMA;;7805357002003;1500;100;;;;false;;;;;;
ACETAZOLAMIDA 250MG. X20COMP. LAB. MINTLAB;;7800063111032;3500;100;;;;false;;;;;;
ACETAZOLAMINA 250 MG X20 COMP. LAB. ASCEND;50016;7804650885832;3500;100;OTROS;SIN ASIGNACION;;false;;;ESMALTE UÑAS;;;
